pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_snum,sy_pnum,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,sy_dist,ra,dec
Kepler-1167 b,Kepler-1167,Transit,2016,Kepler,1,1,3.57,1.71,1.003933739,0.0175,0,1419,0.79,0.75,4971,-0.53589,820.905,298.3026595,47.6939654
Kepler-1740 b,Kepler-1740,Transit,2021,Kepler,1,1,11,3.32321414,8.172400475,0.0779,0,858,0.943,0.905,5705,-0.07942,1061.77,293.873663,38.9224548
Kepler-1581 b,Kepler-1581,Transit,2016,Kepler,1,1,0.437,0.8,6.28385491,0.06865,0,1108,1.12,1.23,6022,0.39085,493.175,287.3713199,39.6036225
Kepler-644 b,Kepler-644,Transit,2016,Kepler,1,1,10.1,3.15,3.173917103,0.04641,0,1655,1.49,1.81,6747,0.71041,1318.05,295.4757022,43.4931119
Kepler-1752 b,Kepler-1752,Transit,2021,Kepler,1,1,18.7,4.54060463,56.35850143,0.2698,0,419,0.824,0.821,5446,-0.39819,962.888,290.8541401,51.2227435
Kepler-280 c,Kepler-280,Transit,2014,Kepler,1,2,4.7,2.01,4.807091,0.056,0,1088,0.962,0.886,5744,-0.06437,780.361,291.3905325,42.1804735
Kepler-1208 b,Kepler-1208,Transit,2016,Kepler,1,1,5.99,2.32,11.08507637,0.0901,0,665,0.8,0.76,5001,-0.55349,825.176,291.8812445,44.5557587
Kepler-263 c,Kepler-263,Transit,2014,Kepler,1,2,6.66,2.47,47.332773,0.242,0,386,0.793,0.785,5265,-0.45614,754.747,292.4698022,37.5677941
Kepler-1101 b,Kepler-1101,Transit,2016,Kepler,1,1,6.66,2.47,81.3151059,0.3483,0,393,0.94,0.91,5614,-0.35135,742.473,294.5693544,45.6711623
HD 168746 b,HD 168746,Radial Velocity,2002,La Silla Observatory,1,1,85.8141,11.1,6.404,0.07,0.11,900,1.07,1.09,5570,0.04139,41.5681,275.4573269,-11.9229757
WASP-107 c,WASP-107,Radial Velocity,2020,Multiple Observatories,1,2,111.2399425,13,1066,,0.27,,0.683,0.657,4425,-0.87943,64.7414,188.3864277,-10.1462141
Kepler-560 b,Kepler-560,Transit,2016,Kepler,2,1,3.61,1.72,18.47764449,0.0899,0.17,298,0.34,0.33,3556,-1.717,109.308,300.2066441,45.0182402
Kepler-150 d,Kepler-150,Transit,2014,Kepler,1,5,8.2,2.79,12.56093,0.104,0,734,0.956,0.939,5560,-0.16141,891.092,288.2341025,40.520897
Kepler-498 b,Kepler-498,Transit,2016,Kepler,1,1,9.43,3.03,9.61375356,0.0897,0,931,0.98,0.96,5744,0.17242,938.844,290.3581592,44.5187225
Kepler-817 b,Kepler-817,Transit,2016,Kepler,1,1,60.2,9.03,3.990106229,0.0493,0,1124,1.03,1.03,5861,0.08609,1484.46,296.0818498,39.161614
Kepler-937 b,Kepler-937,Transit,2016,Kepler,1,2,13.4,3.72,67.668827,0.3214,0,495,1.15,1.22,6095,0.28097,1571.46,294.1688142,46.7146161
K2-10 b,K2-10,Transit,2015,K2,1,1,25.2,3.773,19.30553,0.137,0.31,649,0.88,0.956,5533,-0.10088,272.36,172.1216476,1.6906217
Kepler-571 b,Kepler-571,Transit,2016,Kepler,1,1,7.46,2.64,4.798599388,0.0546,0,978,0.93,0.9,5527,-0.22253,723.875,286.5510448,49.418731
Kepler-1458 b,Kepler-1458,Transit,2016,Kepler,1,1,8.05,2.76,47.9872764,0.24869,0,493,0.96,0.94,5653,-0.24032,544.45,283.2115971,41.0380135
K2-335 b,K2-335,Transit,2021,K2,1,1,5.52,2.21,12.283211,,,949,1.23,1.33,6222,0.39509,557.993,129.3896679,16.5220648
Kepler-1600 c,Kepler-1600,Transit,2021,Kepler,1,2,4.43,1.94206512,7.298049927,0.06961,0,786,0.818,0.834,5119,-0.33945,1030.81,291.3993802,38.7877563
Kepler-221 d,Kepler-221,Transit,2014,Kepler,1,4,3.61,2.73,10.04156,0.087,0,712,0.854,0.821,5243,-0.40429,385.231,296.6547477,46.8352242
Kepler-626 b,Kepler-626,Transit,2016,Kepler,1,1,5.86,2.29,14.48585199,0.10913,0,784,1.01,1.05,5813,-0.04194,635.643,288.6986828,39.7082044
Kepler-1549 b,Kepler-1549,Transit,2016,Kepler,1,1,7.13,2.57,214.886545,0.6687,0,286,0.88,0.84,5324,-0.27333,803.052,286.0524399,39.0960281
K2-62 c,K2-62,Transit,2016,K2,1,2,4.62,1.99,16.19697,0.1148,,495,0.67,0.696,4455,-0.72658,112.467,334.3645089,-12.1874776
Kepler-1149 b,Kepler-1149,Transit,2016,Kepler,1,1,2.67,1.44,3.73089898,0.0473,0,1128,1.02,1.01,5833,0.16546,1217.73,294.1891824,45.1515263
Kepler-1288 b,Kepler-1288,Transit,2016,Kepler,1,1,1.46,1.12,2.76122421,0.04135,0,2017,1.2,1.29,6132,0.30207,814.078,285.7135,41.6058799
Kepler-128 b,Kepler-128,Transit,2013,Kepler,1,2,3.79,1.421,15,0.12545,0,968,1.184,1.659,6072,0.57542,396.379,282.4922622,43.9802442
Kepler-1245 b,Kepler-1245,Transit,2016,Kepler,1,2,2.67,1.44,4.35409304,0.0484,0,1043,0.86,0.83,5306,-0.41093,805.936,290.7443078,43.260753
Kepler-1068 b,Kepler-1068,Transit,2016,Kepler,1,1,12.8,3.63,16.92344113,0.13038,0,702,1.01,1.01,5806,-0.02521,1473.61,294.6481708,46.3923173
Kepler-311 c,Kepler-311,Transit,2014,Kepler,1,3,2.63,1.43,19.738286,0.145,0,744,0.994,1.188,5905,0.19328,778.654,282.0612731,47.0854984
Kepler-150 e,Kepler-150,Transit,2014,Kepler,1,5,9.91,3.12,30.826557,0.189,0,544,0.956,0.939,5560,-0.16141,891.092,288.2341025,40.520897
Kepler-272 c,Kepler-272,Transit,2014,Kepler,1,3,97.8,1.79,6.057342,0.061,0,947,0.91,0.929,5297,0.06634,889.608,299.1275257,47.5938319
Kepler-152 c,Kepler-152,Transit,2014,Kepler,1,2,6.3,2.39,88.255055,0.356,0,326,0.779,0.724,5088,-0.46488,441.09,286.8653826,41.9889571
Kepler-1506 b,Kepler-1506,Transit,2016,Kepler,1,1,2.3,1.32,14.0329154,0.1168,0,783,0.95,0.93,5676,0.42561,2366.02,290.1498822,41.4645625
CoRoT-3 b,CoRoT-3,Transit,2008,CoRoT,1,1,6883.91,11.32,4.2568,0.05783,0,1695,1.37,1.56,6740,0.39086,768.771,292.0552827,0.1218359
HD 205739 b,HD 205739,Radial Velocity,2008,Las Campanas Observatory,1,1,435.41,13.6,279.8,0.896,0.27,,1.22,1.33,6176,0.36,92.5087,324.5351273,-31.7378373
HD 224693 b,HD 224693,Radial Velocity,2006,W. M. Keck Observatory,1,1,222.481,14,26.6904,0.191,0.104,,1.31,1.93,5894,0.61,93.5015,359.9749837,-22.4279999
HD 156279 b,HD 156279,Radial Velocity,2011,Haute-Provence Observatory,1,2,2997.757535,12.5,133.40355,0.502,0.647,,0.94,0.95,5453,-0.14596,36.1945,258.0966686,63.3527828
HD 12661 b,HD 12661,Radial Velocity,2000,Multiple Observatories,1,2,772.3269,13.3,262.70862,0.84,0.38,,1.2,1.2,5645,0.1327,37.8478,31.1423525,25.4135632
HD 16417 b,HD 16417,Radial Velocity,2008,Anglo-Australian Telescope,2,1,22.1,5,17.24,0.14,0.2,,1.2,1.639984,5841,0.44317,25.3936,39.2441029,-34.5790905
HD 19994 b,HD 19994,Radial Velocity,2003,La Silla Observatory,3,1,435.41,13.6,466.2,1.305,0.063,,1.365,1.79647,6188,0.58,22.5242,48.1943193,-1.1963955
HD 156279 c,HD 156279,Radial Velocity,2018,W. M. Keck Observatory,1,2,3098.826968,12.5,4818.25358,5.486,0.261,,0.94,0.95,5453,-0.14596,36.1945,258.0966686,63.3527828
GJ 179 b,GJ 179,Radial Velocity,2009,W. M. Keck Observatory,1,1,301.9369867,13.8,2288,2.41,0.21,,0.357,0.38,3370,-1.796,12.356,73.0245495,6.4752347
GQ Lup b,GQ Lup,Imaging,2004,Paranal Observatory,1,1,6356,33.6,,100,,2650,0.7,1.94153,4360,-0.07239,151.169,237.3003643,-35.6515055
GJ 832 b,GJ 832,Radial Velocity,2008,Anglo-Australian Telescope,1,1,314.6501229,13.8,3853,3.7,0.05,,0.45,0.441557,3472,-1.585,4.96435,323.3912616,-49.0125169
HD 37605 b,HD 37605,Radial Velocity,2004,McDonald Observatory,1,2,854.9627,13.2,55.01292,0.277,0.6745,,0.94,0.91,5329,-0.22,46.7864,85.0074276,6.0595116
HD 33283 b,HD 33283,Radial Velocity,2006,W. M. Keck Observatory,2,1,104.56607,12.5,18.1991,0.1508,0.399,,1.38,1.97,5935,0.64,89.8623,77.0044889,-26.7976689
HD 9446 b,HD 9446,Radial Velocity,2009,Haute-Provence Observatory,1,2,222.472,14,30.052,0.189,0.2,,1,1,5793,0.04139,50.3503,23.3350424,29.2649187
HD 134987 c,HD 134987,Radial Velocity,2009,Multiple Observatories,1,2,260,13.9,5000,5.8,0.12,,1.1,1.25,5585,0.25527,26.1804,228.3675397,-25.3096721
HD 110014 b,HD 110014,Radial Velocity,2009,La Silla Observatory,1,1,3524.59,12.4,835.477,2.14,0.462,,2.17,20.9,4445,2.30408,100.758,189.8111935,-7.9956702
HD 79498 b,HD 79498,Radial Velocity,2011,McDonald Observatory,2,1,425.8922,13.6,1807,2.98,0.575,,1.08,1.05,5748,0.03,48.9489,138.7885794,23.3748792
HD 45652 b,HD 45652,Radial Velocity,2008,Haute-Provence Observatory,1,1,137.62039,14.3,44.073,0.237,0.607,,0.92,0.94,5294,-0.2,34.8541,97.3058709,10.9336212
HIP 79431 b,HIP 79431,Radial Velocity,2009,W. M. Keck Observatory,1,1,667.415,13.4,111.7,0.36,0.29,,0.49,0.478625,3191,-1.54921,14.5324,243.1742467,-18.8764247
HD 3167 b,HD 3167,Transit,2016,K2,1,4,4.97,1.67,0.959641,0.01796,0,1774,0.837,0.88,5261,-0.27003,47.2899,8.7401487,4.3807215
GJ 876 b,GJ 876,Radial Velocity,1998,Multiple Observatories,1,4,723.2235,13.3,61.1166,0.208317,0.0324,,0.32,0.3,3293.74,-1.90658,4.67517,343.3239737,-14.2665958
HD 114783 c,HD 114783,Radial Velocity,2018,W. M. Keck Observatory,1,2,603.8739733,13.4,4352,5,0.05,,0.9,0.840622,5135,-0.3725,21.0628,198.1818436,-2.2649921
HD 47186 c,HD 47186,Radial Velocity,2008,La Silla Observatory,1,2,111.42,13,1353.6,2.395,0.249,,0.96,1.08,5657,0.04298,37.4574,99.0367212,-27.6234285
HD 114783 b,HD 114783,Radial Velocity,2001,W. M. Keck Observatory,1,2,349.6,13.7,493.7,1.16,0.144,,0.853,0.840622,5135,-0.3725,21.0628,198.1818436,-2.2649921
HD 148156 b,HD 148156,Radial Velocity,2009,La Silla Observatory,1,1,270.144,13.9,1027,2.45,0.52,,1.22,1.21,6308,0.25042,57.1289,247.0723035,-46.3175085
HD 12661 c,HD 12661,Radial Velocity,2002,Multiple Observatories,1,2,899.4543918,13.2,1708,2.8145,0.031,,1.02,1.11,5748,0.063,37.8478,31.1423525,25.4135632
HIP 14810 c,HIP 14810,Radial Velocity,2006,W. M. Keck Observatory,1,3,416.3573,13.6,147.747,0.549,0.1566,,1.01,1.07,5544,-0.01,50.48,47.809275,21.0971302
HIP 14810 b,HIP 14810,Radial Velocity,2005,W. M. Keck Observatory,1,3,1239.537,13,6.673892,0.0696,0.14399,,1.01,1.07,5544,-0.01,50.48,47.809275,21.0971302
